date,type,category,keyword,value
2021-01-11,daily,Sports,Tokyo Olympics,0.1
2021-01-11,daily,health,Delta variant,0.1
2021-01-11,daily,Business,Jack Dorsey quits,0.1
2021-01-11,daily,"Violence, war",Nagaland Killings,0.1
2021-01-11,daily,Sports,IPL Auction,0.32953638953639
2021-01-11,daily,Business,Pandora Papers,0.1
2021-01-11,daily,Sports,India vs South Africa,0.277435897435898
2021-01-11,daily,Sports,Eurocup,0.1
2021-01-11,daily,Health,COVID Vaccine,1.38639360639361
2021-01-11,daily,Business,Elon Musk,4.91043623043623
2021-01-11,daily,Entertainment,Vicky Kaushal,0.139340659340659
2021-01-11,daily,Sports,bajrang Punia,0.1
2021-01-11,daily,Sports,P V Sindhu,0.1
2021-01-11,daily,Sports,Sushil Kumar,0.1
2021-01-11,daily,Sports,Paralympics,0.1
2021-01-11,daily,Sports,IPL,3.12
2021-01-11,daily,Entertainment,Shershaah,0.1
2021-01-11,daily,Entertainment,Sooryavanshi,0.146666666666667
2021-01-11,daily,Entertainment,Drishyam 2,0.12
2021-01-11,daily,health,Bird Flu,4.20058823529412
2021-01-11,daily,Sports,Copa America,0.1
2021-01-11,daily,Sports,Wimbledon,0.1
2021-01-11,daily,Sports,English Premier League,0.139393939393939
2021-01-12,daily,Sports,T20 World Cup,0.187171717171717
2021-01-12,daily,Health,Omicron,0.1
2021-01-12,daily,Tragedy,Bipin Rawat Death,0.1
2021-01-12,daily,"Festival, Days",Independence Day,0.310757575757576
2021-01-12,daily,Business,Zomato IPO,0.1
2021-01-12,daily,Business,PayTM IPO,0.1
2021-01-12,daily,Business,nykaa IPO,0.1
2021-01-12,daily,Elections,West Bengal Election,0.129844532279315
2021-01-12,daily,Health,coronavirus,9.69246031746031
2021-01-12,daily,World,Taliban,0.109444444444444
2021-01-12,daily,Governance,Air India Divestment,0.1
2021-01-12,daily,Sports,Neeraj Chopra,0.1
2021-01-12,daily,Entertainment,Raj Kundra,0.1
2021-01-12,daily,"Violence, war",Myanmar coup,0.1
2021-01-12,daily,Business,NFT,0.1
2021-01-12,daily,Politics,Farmers Protest,0.776262626262625
2021-01-12,daily,Entertainment,Miss Universe,0.111636363636364
