date,T20 World Cup,Omicron,Bipin Rawat Death,Independence Day,Zomato IPO,PayTM IPO,nykaa IPO,West Bengal Election,coronavirus,Taliban,Air India Divestment,Neeraj Chopra,Raj Kundra,Myanmar coup,NFT,Farmers Protest,Miss Universe,Lakhimpur Kheri,Cyclone Tauktae,Cyclone Yaas,Cyclone Gulab,Cyclone Jawad,Pegasus,Aryan Khan,UP Election,Bulli Bai app,Vaishno Devi stampede,Ayodhya Deepotsav,Assam Mizoram Border Dispute,Uttarakhand flood,KMC Election 2021 Results,Panama Papers,Vijay Hazare Trophy,Novak Djokovic,cryptocurrency,Kumbh Mela,Tokyo Olympics,Delta variant,Jack Dorsey quits,Nagaland Killings,IPL Auction,Pandora Papers,India vs South Africa,Eurocup,COVID Vaccine,Elon Musk,Vicky Kaushal,bajrang Punia,P V Sindhu,Sushil Kumar,Paralympics,IPL,Shershaah,Sooryavanshi,Drishyam 2,Bird Flu,Copa America,Wimbledon,English Premier League
2021-01-31,0.156450216450217,0.1,0.1,0.448051948051948,0.1,0.1,0.1,0.172936229988668,6.76414141414142,0.1,0.1,0.1,0.1,0.1,0.1,2.06570512820513,0.106829268292683,0.114556882463859,0.1,0.1,0.1,0.1,0.107580138277813,0.1,0.349763581133503,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.595382712577424,0.272730415356777,0.1,0.1,0.1,0.1,0.491861471861472,0.1,0.175627705627706,0.1,1.33771241830065,0.974901960784314,0.141960784313725,0.1,0.1,0.11372972972973,0.1,2.98928571428571,0.1,0.108571428571429,0.1,0.760818713450292,0.1,0.1,0.273040661683844
2021-02-01,0.156450216450217,0.1,0.1,0.318498683447137,0.1,0.1,0.1,0.171000355820489,6.67777777777778,0.1,0.1,0.1,0.1,0.109166666666667,0.1,1.5668956043956,0.106829268292683,0.114556882463859,0.1,0.1,0.1,0.1,0.107580138277813,0.1,0.302222403268827,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.103529411764706,0.1,0.727839164763701,0.258795114965735,0.1,0.1,0.1,0.1,0.431861471861472,0.1,0.138484848484848,0.1,1.26887772995377,0.978967001434721,0.141960784313725,0.1,0.1,0.11372972972973,0.1,2.93214285714286,0.1,0.108571428571429,0.1,0.727069391692289,0.1,0.1,0.240167098465454
2021-02-02,0.143116883116883,0.1,0.1,0.286614625476123,0.1,0.1,0.1,0.181298458801519,6.50444444444444,0.1,0.1,0.1,0.1,0.155833333333333,0.1,1.29202380952381,0.1,0.114556882463859,0.1,0.1,0.1,0.1,0.107580138277813,0.1,0.278786560214744,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.103529411764706,0.1,0.729694944191061,0.251849197680476,0.1,0.1,0.1,0.1,0.360952380952381,0.1,0.11,0.1,1.19466958515739,0.965090681676048,0.127179487179487,0.1,0.1,0.11372972972973,0.1,2.98928571428571,0.1,0.108571428571429,0.1,0.671513836136733,0.1,0.1,0.245681414478179
2021-02-03,0.152192513368984,0.1,0.1,0.297707062450912,0.1,0.1,0.1,0.183722701225761,6.69686868686869,0.1,0.1,0.1,0.1,0.164404761904762,0.1,1.28547619047619,0.103529411764706,0.114556882463859,0.1,0.1,0.1,0.1,0.107580138277813,0.1,0.264080677861803,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.10421906693712,0.100689655172414,0.719930238308708,0.243496256504005,0.1,0.1,0.1,0.1,0.320952380952381,0.1,0.1,0.1,1.17244736293517,0.92620179278716,0.120512820512821,0.1,0.1,0.10972972972973,0.1,3.11428571428571,0.1,0.108571428571429,0.1,0.724455012607322,0.1,0.1,0.305681414478179
2021-02-04,0.173368983957219,0.1,0.1,0.298687454607775,0.1,0.1,0.1,0.205010715537031,6.73686868686869,0.1,0.1,0.1,0.1,0.164404761904762,0.1,1.54867965367965,0.103529411764706,0.104912559618442,0.1,0.1,0.1,0.1,0.104912559618442,0.1,0.270647025331023,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.10421906693712,0.100689655172414,0.674923398363428,0.207176147064881,0.1,0.1,0.1,0.1,0.266666666666666,0.1,0.28,0.1,1.16609815658596,0.973820840406207,0.143369963369963,0.1,0.1,0.10972972972973,0.1,3.2,0.1,0.1,0.1,0.682504548211037,0.1,0.1,0.316420128568466
2021-02-05,0.16427807486631,0.1,0.1,0.271414727335048,0.1,0.1,0.1,0.185767472293788,6.55075757575758,0.1,0.1,0.1,0.1,0.164404761904762,0.1,1.83201298701299,0.10777183600713,0.100588235294118,0.1,0.1,0.1,0.1,0.100588235294118,0.1,0.272448827132825,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.110306023458859,0.100689655172414,0.619149442589472,0.212008251896985,0.1,0.1,0.1,0.1,0.36,0.1,4.26,0.1,1.08086006134787,0.891916078501444,0.138131868131868,0.1,0.1,0.1,0.1,3.2,0.1,0.1,0.1,0.624928790635279,0.1,0.1,0.244675656823994
2021-02-06,0.201853832442068,0.1,0.1,0.282786173758041,0.1,0.1,0.1,0.218560994560994,6.92575757575758,0.1,0.1,0.1,0.1,0.155238095238095,0.1,2.14242965367965,0.11807486631016,0.100588235294118,0.1,0.1,0.1,0.1,0.104830659536542,0.1,0.294598155467721,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.112863568215892,0.100689655172414,0.552732697822212,0.246528714252499,0.1,0.1,0.1,0.1,0.66,0.1,8.24,0.1,1.15525030525031,0.914041514041514,0.13956043956044,0.1,0.1,0.1,0.1,3.4,0.1,0.1,0.1,0.649108734402852,0.1,0.1,0.291342323490661
2021-02-07,0.209546140134375,0.1,0.1,0.318772795831619,0.1,0.1,0.1,0.19811655011655,7.30909090909091,0.1,0.1,0.1,0.1,0.108571428571429,0.1,2.21201298701299,0.11807486631016,0.100588235294118,0.1,0.1,0.1,0.1,0.104830659536542,0.1,0.300885780885781,0.1,0.1,0.1,0.1,0.84923076923077,0.1,0.1,0.112863568215892,0.100689655172414,0.572565473741944,0.314187577128753,0.1,0.1,0.1,0.1,0.84,0.1,13.22,0.1,1.16322751322751,0.947089947089948,0.141269841269841,0.1,0.1,0.1,0.1,3.6,0.1,0.1,0.1,0.709108734402852,0.1,0.1,0.373482791718086
2021-02-08,0.203478028679267,0.1,0.1,0.282116449082393,0.1,0.1,0.1,0.203968169761273,7.24,0.1,0.1,0.1,0.1,0.1,0.1,1.99322276822277,0.114545454545454,0.100588235294118,0.1,0.1,0.1,0.1,0.104830659536542,0.1,0.30243376850188,0.1,0.1,0.1,0.1,1.13890818858561,0.1,0.1,0.112173913043478,0.118461538461538,0.645909126992718,0.308119465673645,0.1,0.1,0.1,0.1,1.02,0.1,17.8,0.1,1.10419973544974,0.998478835978836,0.127936507936508,0.1,0.1,0.1,0.1,3.6,0.1,0.1,0.1,0.643009663195422,0.1,0.1,0.332956475928612
2021-02-09,0.189130826383715,0.1,0.1,0.253493780502766,0.1,0.1,0.1,0.187622015915119,7.02,0.1,0.1,0.1,0.1,0.1,0.1,1.51216216216216,0.114545454545454,0.1,0.1,0.1,0.1,0.1,0.104242424242424,0.1,0.262118130051378,0.1,0.1,0.1,0.1,1.19163546131288,0.1,0.1,0.112173913043478,0.118461538461538,0.701863215945372,0.30603912134079,0.1,0.1,0.1,0.1,1.1,0.1,17.62,0.1,1.00335939931528,0.943016651104887,0.105079365079365,0.1,0.1,0.1,0.1,3.6,0.1,0.1,0.1,0.594587855447932,0.1,0.1,0.279427064163906
